No.,Book,Publish date,Pages,Cover Artist,Rating,Votes,Editions
1,Welcome to Dead House,7/1/1992,123,Tim Jacobus,3.84,"36,903",94
2,Stay Out of the Basement,7/1/1992,122,Jim Thiesen,3.69,"21,029",84
3,Monster Blood,9/1/1992,128,Tim Jacobus,3.52,"13,921",87
4,Say Cheese and Die!,11/1/1992,132,Tim Jacobus,3.78,"26,481",74
5,The Curse of the Mummy's Tomb,1/1/1993,132,Tim Jacobus,3.66,"15,999",80
6,Let's Get Invisible!,3/1/1993,139,Tim Jacobus,3.58,"11,761",59
7,Night of the Living Dummy,5/1/1993,134,Tim Jacobus,3.84,"30,854",103
8,The Girl Who Cried Monster,5/1/1993,137,Tim Jacobus,3.53,"8,501",43
9,Welcome to Camp Nightmare,7/1/1993,136,Tim Jacobus,3.78,"16,787",64
10,The Ghost Next Door,8/1/1993,124,Tim Jacobus,3.78,"11,652",81
11,The Haunted Mask,9/1/1993,121,Tim Jacobus,3.86,"23,310",77
12,Be Careful What You Wish For...,10/1/1993,121,Stanislaw Fernandes,3.67,"11,622",63
13,Piano Lessons Can Be Murder,11/1/1993,124,Tim Jacobus,3.57,"8,633",35
14,The Werewolf of Fever Swamp,12/1/1993,123,Tim Jacobus,3.84,"15,748",62
15,You Can't Scare Me!,1/1/1994,120,Tim Jacobus,3.35,"5,835",37
16,One Day at HorrorLand,2/1/1994,123,Tim Jacobus,3.91,"19,777",67
17,Why I'm Afraid of Bees,3/1/1994,117,Tim Jacobus,3.34,"6,638",38
18,Monster Blood II,4/1/1994,121,Tim Jacobus,3.51,"7,877",37
19,Deep Trouble,5/1/1994,117,Tim Jacobus,3.55,"9,046",55
20,The Scarecrow Walks at Midnight,5/1/1994,122,Tim Jacobus,3.69,"11,701",71
21,Go Eat Worms!,7/1/1994,119,Tim Jacobus,3.33,"6,294",31
22,Ghost Beach,8/1/1994,119,Tim Jacobus,3.74,"9,472",57
23,Return of the Mummy,9/1/1994,118,Tim Jacobus,3.54,"6,250",42
24,Phantom of the Auditorium,10/1/1994,126,Tim Jacobus,3.67,"7,843",40
25,Attack of the Mutant,11/1/1994,117,Tim Jacobus,3.53,"4,912",43
26,My Hairiest Adventure,12/1/1994,122,Tim Jacobus,3.38,"4,493",37
27,A Night in Terror Tower,1/1/1995,129,Tim Jacobus,3.73,"8,923",53
28,The Cuckoo Clock of Doom,2/1/1995,118,Tim Jacobus,3.65,"8,237",38
29,Monster Blood III,3/1/1995,126,Tim Jacobus,3.49,"4,386",27
30,It Came from Beneath the Sink!,4/1/1995,126,Tim Jacobus,3.57,"8,241",42
31,Night of the Living Dummy II,5/1/1995,120,Tim Jacobus,3.73,"8,552",52
32,The Barking Ghost,6/1/1995,117,Tim Jacobus,3.52,"6,108",41
33,The Horror at Camp Jellyjam,7/1/1995,128,Tim Jacobus,3.57,"7,459",39
34,Revenge of the Lawn Gnomes,8/1/1995,119,Tim Jacobus,3.49,"6,444",48
35,A Shocker on Shock Street,9/1/1995,117,Tim Jacobus,3.62,"5,042",43
36,The Haunted Mask II,10/1/1995,124,Tim Jacobus,3.62,"5,504",36
37,The Headless Ghost,11/1/1995,113,Tim Jacobus,3.72,"6,349",48
38,The Abominable Snowman of Pasadena,12/1/1995,127,Tim Jacobus,3.45,"5,142",49
39,How I Got My Shrunken Head,1/1/1996,119,Tim Jacobus,3.54,"7,321",50
40,Night of the Living Dummy III,2/1/1996,125,Tim Jacobus,3.77,"6,062",28
41,Bad Hare Day,3/1/1996,117,Tim Jacobus,3.38,"4,350",34
42,Egg Monsters from Mars,4/1/1996,115,Tim Jacobus,3.45,"4,418",34
43,The Beast from the East,5/1/1996,118,Tim Jacobus,3.66,"5,379",29
44,Say Cheese and Die — Again!,6/1/1996,115,Tim Jacobus,3.59,"6,351",31
45,Ghost Camp,7/1/1996,118,Tim Jacobus,3.7,"7,368",34
46,How to Kill a Monster,8/1/1996,112,Tim Jacobus,3.58,"5,192",41
47,Legend of the Lost Legend,9/1/1996,123,Tim Jacobus,3.47,"2,687",24
48,Attack of the Jack-O'-Lanterns,10/1/1996,113,Tim Jacobus,3.65,"4,174",42
49,Vampire Breath,11/1/1996,114,Tim Jacobus,3.63,"5,903",46
50,Calling All Creeps!,12/1/1996,116,Tim Jacobus,3.57,"3,906",33
51,"Beware, the Snowman",1/1/1997,113,Tim Jacobus,3.56,"4,754",34
52,How I Learned to Fly,2/1/1997,125,Tim Jacobus,3.6,"3,987",27
53,Chicken Chicken,3/1/1997,112,Tim Jacobus,3.37,"3,172",25
54,Don't Go to Sleep!,4/1/1997,118,Tim Jacobus,3.61,"4,094",35
55,The Blob That Ate Everyone,5/1/1997,114,Tim Jacobus,3.54,"5,278",41
56,The Curse of Camp Cold Lake,6/1/1997,114,Tim Jacobus,3.77,"6,656",30
57,My Best Friend Is Invisible,7/1/1997,114,Tim Jacobus,3.59,"3,243",23
58,Deep Trouble II,8/1/1997,113,Tim Jacobus,3.51,"2,518",26
59,The Haunted School,9/1/1997,120,Tim Jacobus,3.87,"6,455",45
60,Werewolf Skin,10/1/1997,125,Tim Jacobus,3.71,"3,188",25
61,I Live in Your Basement!,11/1/1997,111,Tim Jacobus,3.54,"2,266",21
62,Monster Blood IV,12/1/1997,118,Tim Jacobus,3.59,"2,328",15
